From;To;Resources;tc_min;tc_max;c_exch_network
CB;CH;ELECTRICITY;0;0.1425;15.33
CH;CB;ELECTRICITY;0;0.1425;15.33
CB;SC;ELECTRICITY;0;0.2725;15.33
SC;CB;ELECTRICITY;0;0.2725;15.33
CB;OR;ELECTRICITY;0;0.31421;15.33
CB;PT;ELECTRICITY;0;0.074;15.33
PT;CB;ELECTRICITY;0;0.074;15.33
CB;LP;ELECTRICITY;0;0.3858;15.33
LP;BN;ELECTRICITY;0;0.1051;15.33
BN;LP;ELECTRICITY;0;0.074;15.33
LP;OR;ELECTRICITY;0;0.13;15.33
LP;CB;ELECTRICITY;0;0.3118;15.33
OR;CB;ELECTRICITY;0;0.293;15.33
OR;PT;ELECTRICITY;0;0.074;15.33
PT;OR;ELECTRICITY;0;0.074;15.33
OR;LP;ELECTRICITY;0;0.13;15.33
PT;CH;ELECTRICITY;0;0.2185;15.33
CH;PT;ELECTRICITY;0;0.2185;15.33
CH;SC;ELECTRICITY;0;0.0152;15.33
SC;BN;ELECTRICITY;0;0.14004;15.33
BN;SC;ELECTRICITY;0;0.14004;15.33
TJ;PT;ELECTRICITY;0;0.3258;15.33
PT;TJ;ELECTRICITY;0;0.3258;15.33
CB;SC;GAS;0;2.90629;0.541
SC;CB;GAS;0;2.90629;0.541
CB;CH;GAS;0;0.126997464;0.541
CH;CB;GAS;0;0.126997464;0.541
CB;OR;GAS;0;1.233340754;0.541
OR;CB;GAS;0;1.233340754;0.541
LP;OR;GAS;0;1.088026348;0.541
OR;LP;GAS;0;1.088026348;0.541
LP;BN;GAS;0;1.088026348;0.541
BN;LP;GAS;0;1.088026348;0.541
BN;SANA;GAS;0;1.088026348;0.541
SANA;BN;GAS;0;1.088026348;0.541
SC;TJ;GAS;0;4.156114114;0.541
TJ;SC;GAS;0;4.156114114;0.541
SC;CH;GAS;0;0.263763963;0.541
CH;SC;GAS;0;0.263763963;0.541
CH;PT;GAS;0;0.125776334;0.541
PT;CH;GAS;0;0.125776334;0.541
