{PERIODS};ELECTRICITY;HEAT_LOW_T_SH;MOBILITY_PASSENGER;MOBILITY_FREIGHT;PV;WIND_ONSHORE;WIND_OFFSHORE;HYDRO_DAM;HYDRO_RIVER;SOLAR
1;1.06E-04;0.000114155;6.77E-06;0.000114155;0;0.004324676;0;0.66131025;0.174718395;0
2;9.73E-05;0.000114155;3.75E-06;0.000114155;0;0.002883117;0;0.577786563;0.177088607;0
3;9.10E-05;0.000114155;2.38E-06;0.000114155;0;0.002883117;0;0.537201804;0.180474622;0
4;8.80E-05;0.000114155;8.30E-06;0.000114155;0;0.004324676;0;0.503975588;0.178104411;0
5;8.63E-05;0.000114155;2.49E-05;0.000114155;0;0.008649351;0;0.47923566;0.192664277;0
6;7.76E-05;0.000114155;6.93E-05;0.000114155;0;0.01009091;0;0.418351473;0.19537309;0
7;7.66E-05;0.000114155;0.000143;0.000114155;0.174549786;0.015857144;0;0.377907682;0.198759106;0.137615849
8;7.96E-05;0.000114155;0.00019;0.000114155;0.396145201;0.027389612;0;0.399955117;0.193341481;0.344437689
9;8.25E-05;0.000114155;0.000168;0.000114155;0.604231002;0.044688315;0;0.412473097;0.254289758;0.54267444
10;8.72E-05;0.000114155;0.000165;0.000114155;0.776983337;0.06919481;0;0.447771547;0.236005275;0.708860742
11;9.11E-05;0.000114155;0.000179;0.000114155;0.899759951;0.096584423;0;0.502551809;0.178104411;0.827533585
12;9.42E-05;0.000114155;0.000196;0.000114155;0.962777455;0.119649359;0;0.556204324;0.209255752;0.888909581
13;9.64E-05;0.000114155;0.000195;0.000114155;0.838966691;0.131181828;0;0.576235912;0.223815619;0.16348602
14;9.75E-05;0.000114155;0.000185;0.000114155;0.508949652;0.125415593;0;0.612986334;0.224492823;0.065742408
15;9.81E-05;0.000114155;0.000199;0.000114155;0.480305332;0.115324684;0;0.598198766;0.440182005;0.087164091
16;9.80E-05;0.000114155;0.000216;0.000114155;0.456027424;0.098025981;0;0.632129823;0.438827598;0.164659699
17;9.77E-05;0.000114155;0.000224;0.000114155;0.409186984;0.067753252;0;0.607883283;0.459482293;0.356658718
18;9.61E-05;0.000114155;0.000198;0.000114155;0.132001891;0.037480522;0;0.577053528;0.736458354;0.048284967
19;1.02E-04;0.000114155;1.37E-04;0.000114155;0.007386787;0.033155847;0;0.684118913;0.891876461;0
20;1.21E-04;0.000114155;9.07E-05;0.000114155;0;0.050454549;0;0.831205184;0.88273422;0
21;1.20E-04;0.000114155;6.33E-05;0.000114155;0;0.08937663;0;0.748005723;0.871560368;0
22;1.14E-04;0.000114155;4.11E-05;0.000114155;0;0.111000008;0;0.626646158;0.798422436;0
23;1.06E-04;0.000114155;2.46E-05;0.000114155;0;0.053337666;0;0.612788978;0.287134108;0
24;9.80E-05;0.000114155;8.08E-06;0.000114155;0;0.02018182;0;0.563999868;0.166253357;0
25;9.39E-05;0.000114155;6.77E-06;0.000114155;0;0.008649351;0;0.582410322;0.430286377;0
26;8.98E-05;0.000114155;3.75E-06;0.000114155;0;0.007207793;0;0.584200619;0.43081121;0
27;8.80E-05;0.000114155;2.38E-06;0.000114155;0;0.011532468;0;0.592926552;0.45615553;0
28;8.71E-05;0.000114155;8.30E-06;0.000114155;0;0.021623378;0;0.583664939;0.452947275;0
29;8.81E-05;0.000114155;2.49E-05;0.000114155;0;0.030272729;0;0.599580255;0.454614892;0
30;9.13E-05;0.000114155;6.93E-05;0.000114155;0;0.034597405;0;0.619978361;0.458161752;0
31;9.69E-05;0.000114155;0.000143;0.000114155;0.073949949;0.056220783;0;0.604288594;0.447504261;0.0050066
32;1.06E-04;0.000114155;0.00019;0.000114155;0.136286228;0.076402603;0;0.580591832;0.410723668;0.006607071
33;1.14E-04;0.000114155;0.000168;0.000114155;2.82E-01;0.076402603;0;0.628577423;0.271219835;0.027995924
34;0.000117435;0.000114155;0.000165;0.000114155;0.311927617;0.074961044;0;0.607728219;0.326411886;0.020559892
