Category;Subcategory;Technologies name;Technologies param;c_inv;c_maint;gwp_constr;lifetime;c_p;fmin_perc;fmax_perc;f_min;f_max;Comment
;;Name (simplified);Name (in model and documents);"[Meuro/GW]
[Meuro/GWh] 
[Meuro/(Mkmpass/h)] 
[Meuro/(Mtonkm/h)]";"[Meuro/GW]
[Meuro/GWh] 
[Meuro/(Mkmpass/h)] 
[Meuro/(Mtonkm/h)]";"[ktonCO2_eq/GW]
[ktonCO2_eq/GWh]
[ktonCO2_eq/(Mkmpass/h)]
[ktonCO2_eq/(Mtonkm/h)]";[years];[];[];[];[GW];[GW];
Electricity;Electricity;Nuclear; NUCLEAR ;4845.73;102.930986;707.88;60;0.843906;0;1;0;0;
Electricity;Electricity;Combined cycle gas turbine; CCGT ;898;22.45;183.79;25;0.369470909;0;1;0.26295;0.26305;
Electricity;Electricity;Amonia combined cycle gas turbine; CCGT_AMMONIA ;802.5;20.32459833;183.79;25;0.59;0;1;0;0;
Electricity;Electricity;Ultra-supercritical coal power plant; COAL_US ;2571.42;30.0225445;331.6;35;0.865396;0;1;0;0;
Electricity;Electricity;Intagrated gasification combined cycle with coal; COAL_IGCC ;3316.37;49.47283735;331.6;35;0.853432;0;1;0;0;
Electricity;Electricity;Photovoltaic; PV ;1051.13;26.01945647;2081.43;25;1;0;1;0.005;0.0051;
Electricity;Electricity;Wind onshore; WIND_ONSHORE ;1629.13;24.41867298;622.85;30;1;0;1;0;0;
Electricity;Electricity;Wind offshore; WIND_OFFSHORE ;5219.54;36.31492615;622.85;30;1;0;1;0;0;
Electricity;Electricity;Hydro river; HYDRO_RIVER ;2000.263959;20.00263959;1262.82;40;1;0;1;0;0;
Electricity;Electricity;Geothermal power plant; GEOTHERMAL ;3772.171603;94.30429007;24929.09;30;0.914;0;1;0;0;
Heat;Heat high temperature;Cogeneration gas (industry); IND_COGEN_GAS ;767.4832528;19.18708132;1024.32;25;0.8449;0;1;0;0;
Heat;Heat high temperature;Cogeneration wood (industry); IND_COGEN_WOOD ;1716.964771;39.82614252;165.33;25;0.8449;0;1;0;0;
Heat;Heat high temperature;Cogeneration waste (industry); IND_COGEN_WASTE ;3101.3;114.3299681;647.82;25;0.8449;0;1;0;0;
Heat;Heat high temperature;Boiler gas (industry); IND_BOILER_GAS ;70.67;1.415862909;12.32;17;0.9443;0;1;0.031152609;0.031252609;
Heat;Heat high temperature;Boiler wood (industry); IND_BOILER_WOOD ;138.22;2.764303774;28.87;17;0.8946;0;1;0.021432429;0.021532429;
Heat;Heat high temperature;Boiler oil (industry); IND_BOILER_OIL ;65.83;1.415862909;12.32;17;0.9443;0;1;0.00001776;0.00011776;
Heat;Heat high temperature;Boiler coal (industry); IND_BOILER_COAL ;138.22;2.764303774;48.18;17;0.8946;0;1;0;0;
Heat;Heat high temperature;Boiler waste (industry); IND_BOILER_WASTE ;138.22;2.764303774;28.87;17;0.8946;0;1;0;0;
Heat;Heat high temperature;Electrical resistors (industry); IND_DIRECT_ELEC ;387.73;1.758903768;1.47;15;0.9443;0;1;0;0;
Heat;Heat low temperature centralised;Heat pump (DHN); DHN_HP_ELEC ;395.73;13.41870073;174.79;25;0.9443;0;1;0;0;
Heat;Heat low temperature centralised;Cogeneration gas (DHN); DHN_COGEN_GAS ;1361.46;39.80624675;490.88;25;0.8449;0;1;0;0;
Heat;Heat low temperature centralised;Cogeneration wood (DHN); DHN_COGEN_WOOD ;1172.95;42.94466341;165.33;25;0.8449;0;1;0;0;
Heat;Heat low temperature centralised;Cogeneration waste (DHN); DHN_COGEN_WASTE ;3182.91;117.3386515;647.82;25;0.8449;0;1;0;0;
Heat;Heat low temperature centralised;Cogeneration wet biomass (DHN); DHN_COGEN_WET_BIOMASS ;1491.64;121.3965436;1024;25;0.7455;0;1;0;0;
Heat;Heat low temperature centralised;Cogeneration hydrolysis (DHN); DHN_COGEN_BIO_HYDROLYSIS ;4923.77;240.5931676;647.8;15;0.8449;0;1;0;0;
Heat;Heat low temperature centralised;Boiler gas (DHN); DHN_BOILER_GAS ;70.67;1.415862909;12.32;17;0.9443;0;1;0;1.00E+15;
Heat;Heat low temperature centralised;Boiler wood (DHN); DHN_BOILER_WOOD ;138.22;2.764303774;28.87;17;0.8946;0;1;0;0;
Heat;Heat low temperature centralised;Boiler oil (DHN); DHN_BOILER_OIL ;65.83;1.415862909;12.32;17;0.9443;0;1;0;1.00E+15;
Heat;Heat low temperature centralised;Geothermal (DHN); DHN_DEEP_GEO ;1611.94;60.39529412;808.76;30;0.8449;0;1;0;0;
