param end_uses_demand_year : 	HOUSEHOLDS	SERVICES	INDUSTRY	TRANSPORTATION := 
BN	ELECTRICITY	83.86290352	59.13734126	12.14228445	0.0
BN	LIGHTING	14.74917939	13.41047164	12.14228445	0.0
BN	HEAT_HIGH_T	0.0	2.763268293	259.5822175	0.0
BN	HEAT_LOW_T_SH	0.0	0.0	0.0	0.0
BN	HEAT_LOW_T_HW	46.60346768	0.0	0.0	0.0
BN	COOKING	138.1816109	0.016144395	0.0	0.0
BN	MOBILITY_PASSENGER	0.0	0.0	0.0	2201.686615
BN	MOBILITY_FREIGHT	0.0	0.0	0.0	671.7356276
BN	NON_ENERGY	0.0	0.0	10.7912535	0.0
CB	ELECTRICITY	259.8090116	266.5070334	234.1532069	0.0
CB	LIGHTING	61.71407415	108.62073	234.1532069	0.0
CB	HEAT_HIGH_T	0.0	9.818557475	2428.403554	0.0
CB	HEAT_LOW_T_SH	0.0	0.0	0.0	0.0
CB	HEAT_LOW_T_HW	291.8685696	0.0	0.0	0.0
CB	COOKING	992.7016223	45.4555244	0.0	0.0
CB	MOBILITY_PASSENGER	0.0	0.0	0.0	15939.76665
CB	MOBILITY_FREIGHT	0.0	0.0	0.0	3073.248278
CB	NON_ENERGY	0.0	0.0	1678.337316	0.0
CH	ELECTRICITY	59.23613098	49.47657076	73.15110345	0.0
CH	LIGHTING	12.94100715	20.16525104	73.15110345	0.0
CH	HEAT_HIGH_T	0.0	2.42425621	919.0794859	0.0
CH	HEAT_LOW_T_SH	0.0	0.0	0.0	0.0
CH	HEAT_LOW_T_HW	58.36857502	0.0	0.0	0.0
CH	COOKING	264.3186183	12.2535958	0.0	0.0
CH	MOBILITY_PASSENGER	0.0	0.0	0.0	2418.468811
CH	MOBILITY_FREIGHT	0.0	0.0	0.0	436.7753367
CH	NON_ENERGY	0.0	0.0	7.2564807	0.0
LP	ELECTRICITY	132.4180404	380.9664963	224.4665699	0.0
LP	LIGHTING	92.08423026	132.2553237	224.4665699	0.0
LP	HEAT_HIGH_T	0.0	18.19151626	3722.410196	0.0
LP	HEAT_LOW_T_SH	0.0	0.0	0.0	0.0
