param : 	avail_local	avail_exterior	gwp_op_local	c_op_local := 
BN	WOOD	12600.0	0.0	0.0118	0.016980597
BN	WET_BIOMASS	231.7773203	0.0	0.0118	0.010318121
BN	WASTE	0.0	0.0	0.1501	0.021187834
BN	ELECTRICITY	0.0	0.0	0.412971429	0.063732
BN	GASOLINE	0.0	Infinity	0.3448	0.124118331
BN	DIESEL	0.0	Infinity	0.3148	0.111311495
BN	BIOETHANOL	0.0	0.0	0.0	0.122502774
BN	BIODIESEL	0.0	0.0	0.0	0.131394244
BN	LFO	0.0	Infinity	0.3115	0.085115655
BN	GAS	477.4322454	0.0	0.2666	0.010662519
BN	GAS_RE	0.0	0.0	0.0	0.132345636
BN	COAL	0.0	0.0	0.4014	0.015545445
BN	URANIUM	0.0	0.0	0.0039	0.003876456
BN	H2	0.0	0.0	0.414044616	0.077642645
BN	H2_RE	0.0	0.0	0.0	0.137854413
BN	AMMONIA	0.0	0.0	0.285	0.071991938
BN	METHANOL	0.0	0.0	0.35	0.081184572
BN	AMMONIA_RE	0.0	0.0	0.0	0.092751343
BN	METHANOL_RE	0.0	0.0	0.0	0.122502774
BN	CO2_EMISSIONS	Infinity	Infinity	0.0	0.0
BN	RES_WIND	Infinity	Infinity	0.0	0.0
BN	RES_SOLAR	Infinity	Infinity	0.0	0.0
BN	RES_HYDRO	Infinity	Infinity	0.0	0.0
BN	RES_GEO	Infinity	Infinity	0.0	0.0
BN	CO2_ATM	Infinity	Infinity	0.0	0.0
BN	CO2_INDUSTRY	0.0	0.0	0.0	0.0
BN	CO2_CAPTURED	0.0	0.0	0.0	0.0
BN	LPG	0.0	Infinity	0.28360908	0.021578745
CB	WOOD	12045.0	0.0	0.0118	0.016980597
CB	WET_BIOMASS	1325.003223	0.0	0.0118	0.010318121
CB	WASTE	0.0	0.0	0.1501	0.021187834
CB	ELECTRICITY	0.0	0.0	0.412971429	0.063732
CB	GASOLINE	0.0	Infinity	0.3448	0.124118331
CB	DIESEL	0.0	Infinity	0.3148	0.111311495
CB	BIOETHANOL	0.0	0.0	0.0	0.122502774
CB	BIODIESEL	0.0	0.0	0.0	0.131394244
CB	LFO	0.0	Infinity	0.3115	0.085115655
CB	GAS	477.4322454	0.0	0.2666	0.010662519
CB	GAS_RE	0.0	0.0	0.0	0.132345636
CB	COAL	0.0	0.0	0.4014	0.015545445
CB	URANIUM	0.0	0.0	0.0039	0.003876456
CB	H2	0.0	0.0	0.414044616	0.077642645
CB	H2_RE	0.0	0.0	0.0	0.137854413
CB	AMMONIA	0.0	0.0	0.285	0.071991938
CB	METHANOL	0.0	0.0	0.35	0.081184572
CB	AMMONIA_RE	0.0	0.0	0.0	0.092751343
CB	METHANOL_RE	0.0	0.0	0.0	0.122502774
CB	CO2_EMISSIONS	Infinity	Infinity	0.0	0.0
CB	RES_WIND	Infinity	Infinity	0.0	0.0
CB	RES_SOLAR	Infinity	Infinity	0.0	0.0
CB	RES_HYDRO	Infinity	Infinity	0.0	0.0
CB	RES_GEO	Infinity	Infinity	0.0	0.0
CB	CO2_ATM	Infinity	Infinity	0.0	0.0
CB	CO2_INDUSTRY	0.0	0.0	0.0	0.0
CB	CO2_CAPTURED	0.0	0.0	0.0	0.0
CB	LPG	0.0	Infinity	0.28360908	0.021578745
CH	WOOD	1605.0	0.0	0.0118	0.016980597
CH	WET_BIOMASS	313.5002138	0.0	0.0118	0.010318121
CH	WASTE	0.0	0.0	0.1501	0.021187834
CH	ELECTRICITY	0.0	0.0	0.412971429	0.063732
CH	GASOLINE	0.0	Infinity	0.3448	0.124118331
CH	DIESEL	0.0	Infinity	0.3148	0.111311495
CH	BIOETHANOL	0.0	0.0	0.0	0.122502774
CH	BIODIESEL	0.0	0.0	0.0	0.131394244
CH	LFO	0.0	Infinity	0.3115	0.085115655
CH	GAS	16276.11627	0.0	0.2666	0.010662519
CH	GAS_RE	0.0	0.0	0.0	0.132345636
CH	COAL	0.0	0.0	0.4014	0.015545445
CH	URANIUM	0.0	0.0	0.0039	0.003876456
CH	H2	0.0	0.0	0.414044616	0.077642645
CH	H2_RE	0.0	0.0	0.0	0.137854413
CH	AMMONIA	0.0	0.0	0.285	0.071991938
CH	METHANOL	0.0	0.0	0.35	0.081184572
CH	AMMONIA_RE	0.0	0.0	0.0	0.092751343
CH	METHANOL_RE	0.0	0.0	0.0	0.122502774
CH	CO2_EMISSIONS	Infinity	Infinity	0.0	0.0
CH	RES_WIND	Infinity	Infinity	0.0	0.0
CH	RES_SOLAR	Infinity	Infinity	0.0	0.0
CH	RES_HYDRO	Infinity	Infinity	0.0	0.0
CH	RES_GEO	Infinity	Infinity	0.0	0.0
CH	CO2_ATM	Infinity	Infinity	0.0	0.0
CH	CO2_INDUSTRY	0.0	0.0	0.0	0.0
CH	CO2_CAPTURED	0.0	0.0	0.0	0.0
CH	LPG	0.0	Infinity	0.28360908	0.021578745
LP	WOOD	39045.0	0.0	0.0118	0.016980597
LP	WET_BIOMASS	1482.777868	0.0	0.0118	0.010318121
LP	WASTE	0.0	0.0	0.1501	0.021187834
LP	ELECTRICITY	0.0	0.0	0.412971429	0.063732
LP	GASOLINE	0.0	Infinity	0.3448	0.124118331
LP	DIESEL	0.0	Infinity	0.3148	0.111311495
LP	BIOETHANOL	0.0	0.0	0.0	0.122502774
LP	BIODIESEL	0.0	0.0	0.0	0.131394244
LP	LFO	0.0	Infinity	0.3115	0.085115655
LP	GAS	477.4322454	0.0	0.2666	0.010662519
LP	GAS_RE	0.0	0.0	0.0	0.132345636
LP	COAL	0.0	0.0	0.4014	0.015545445
LP	URANIUM	0.0	0.0	0.0039	0.003876456
LP	H2	0.0	0.0	0.414044616	0.077642645
LP	H2_RE	0.0	0.0	0.0	0.137854413
LP	AMMONIA	0.0	0.0	0.285	0.071991938
LP	METHANOL	0.0	0.0	0.35	0.081184572
LP	AMMONIA_RE	0.0	0.0	0.0	0.092751343
LP	METHANOL_RE	0.0	0.0	0.0	0.122502774
LP	CO2_EMISSIONS	Infinity	Infinity	0.0	0.0
LP	RES_WIND	Infinity	Infinity	0.0	0.0
LP	RES_SOLAR	Infinity	Infinity	0.0	0.0
LP	RES_HYDRO	Infinity	Infinity	0.0	0.0
LP	RES_GEO	Infinity	Infinity	0.0	0.0
LP	CO2_ATM	Infinity	Infinity	0.0	0.0
LP	CO2_INDUSTRY	0.0	0.0	0.0	0.0
LP	CO2_CAPTURED	0.0	0.0	0.0	0.0
LP	LPG	0.0	Infinity	0.28360908	0.021578745
OR	WOOD	268.5995715	0.0	0.0118	0.016980597
OR	WET_BIOMASS	244.0025778	0.0	0.0118	0.010318121
OR	WASTE	0.0	0.0	0.1501	0.021187834
OR	ELECTRICITY	0.0	0.0	0.412971429	0.063732
OR	GASOLINE	0.0	Infinity	0.3448	0.124118331
OR	DIESEL	0.0	Infinity	0.3148	0.111311495
OR	BIOETHANOL	0.0	0.0	0.0	0.122502774
OR	BIODIESEL	0.0	0.0	0.0	0.131394244
OR	LFO	0.0	Infinity	0.3115	0.085115655
OR	GAS	477.4322454	0.0	0.2666	0.010662519
OR	GAS_RE	0.0	0.0	0.0	0.132345636
OR	COAL	0.0	0.0	0.4014	0.015545445
OR	URANIUM	0.0	0.0	0.0039	0.003876456
OR	H2	0.0	0.0	0.414044616	0.077642645
OR	H2_RE	0.0	0.0	0.0	0.137854413
OR	AMMONIA	0.0	0.0	0.285	0.071991938
OR	METHANOL	0.0	0.0	0.35	0.081184572
OR	AMMONIA_RE	0.0	0.0	0.0	0.092751343
OR	METHANOL_RE	0.0	0.0	0.0	0.122502774
OR	CO2_EMISSIONS	Infinity	Infinity	0.0	0.0
OR	RES_WIND	Infinity	Infinity	0.0	0.0
OR	RES_SOLAR	Infinity	Infinity	0.0	0.0
OR	RES_HYDRO	Infinity	Infinity	0.0	0.0
OR	RES_GEO	Infinity	Infinity	0.0	0.0
OR	CO2_ATM	Infinity	Infinity	0.0	0.0
OR	CO2_INDUSTRY	0.0	0.0	0.0	0.0
OR	CO2_CAPTURED	0.0	0.0	0.0	0.0
OR	LPG	0.0	Infinity	0.28360908	0.021578745
PT	WOOD	335.9219979	0.0	0.0118	0.016980597
PT	WET_BIOMASS	404.2860965	0.0	0.0118	0.010318121
PT	WASTE	0.0	0.0	0.1501	0.021187834
PT	ELECTRICITY	0.0	0.0	0.412971429	0.063732
PT	GASOLINE	0.0	Infinity	0.3448	0.124118331
PT	DIESEL	0.0	Infinity	0.3148	0.111311495
PT	BIOETHANOL	0.0	0.0	0.0	0.122502774
PT	BIODIESEL	0.0	0.0	0.0	0.131394244
PT	LFO	0.0	Infinity	0.3115	0.085115655
PT	GAS	477.4322454	0.0	0.2666	0.010662519
PT	GAS_RE	0.0	0.0	0.0	0.132345636
PT	COAL	0.0	0.0	0.4014	0.015545445
PT	URANIUM	0.0	0.0	0.0039	0.003876456
PT	H2	0.0	0.0	0.414044616	0.077642645
PT	H2_RE	0.0	0.0	0.0	0.137854413
PT	AMMONIA	0.0	0.0	0.285	0.071991938
PT	METHANOL	0.0	0.0	0.35	0.081184572
PT	AMMONIA_RE	0.0	0.0	0.0	0.092751343
PT	METHANOL_RE	0.0	0.0	0.0	0.122502774
PT	CO2_EMISSIONS	Infinity	Infinity	0.0	0.0
PT	RES_WIND	Infinity	Infinity	0.0	0.0
PT	RES_SOLAR	Infinity	Infinity	0.0	0.0
PT	RES_HYDRO	Infinity	Infinity	0.0	0.0
PT	RES_GEO	Infinity	Infinity	0.0	0.0
PT	CO2_ATM	Infinity	Infinity	0.0	0.0
PT	CO2_INDUSTRY	0.0	0.0	0.0	0.0
PT	CO2_CAPTURED	0.0	0.0	0.0	0.0
PT	LPG	0.0	Infinity	0.28360908	0.021578745
SABE	WOOD	6270.0	0.0	0.0118	0.016980597
SABE	WET_BIOMASS	309.4143623	0.0	0.0118	0.010318121
SABE	WASTE	0.0	0.0	0.1501	0.021187834
SABE	ELECTRICITY	0.0	0.0	0.412971429	0.063732
SABE	GASOLINE	0.0	Infinity	0.3448	0.124118331
SABE	DIESEL	0.0	Infinity	0.3148	0.111311495
SABE	BIOETHANOL	0.0	0.0	0.0	0.122502774
SABE	BIODIESEL	0.0	0.0	0.0	0.131394244
SABE	LFO	0.0	Infinity	0.3115	0.085115655
SABE	GAS	477.4322454	0.0	0.2666	0.010662519
SABE	GAS_RE	0.0	0.0	0.0	0.132345636
SABE	COAL	0.0	0.0	0.4014	0.015545445
SABE	URANIUM	0.0	0.0	0.0039	0.003876456
SABE	H2	0.0	0.0	0.414044616	0.077642645
SABE	H2_RE	0.0	0.0	0.0	0.137854413
SABE	AMMONIA	0.0	0.0	0.285	0.071991938
SABE	METHANOL	0.0	0.0	0.35	0.081184572
SABE	AMMONIA_RE	0.0	0.0	0.0	0.092751343
SABE	METHANOL_RE	0.0	0.0	0.0	0.122502774
SABE	CO2_EMISSIONS	Infinity	Infinity	0.0	0.0
SABE	RES_WIND	Infinity	Infinity	0.0	0.0
SABE	RES_SOLAR	Infinity	Infinity	0.0	0.0
SABE	RES_HYDRO	Infinity	Infinity	0.0	0.0
SABE	RES_GEO	Infinity	Infinity	0.0	0.0
SABE	CO2_ATM	Infinity	Infinity	0.0	0.0
SABE	CO2_INDUSTRY	0.0	0.0	0.0	0.0
SABE	CO2_CAPTURED	0.0	0.0	0.0	0.0
SABE	LPG	0.0	Infinity	0.28360908	0.021578745
SACA	WOOD	72900.0	0.0	0.0118	0.016980597
SACA	WET_BIOMASS	21141.14981	0.0	0.0118	0.010318121
SACA	WASTE	0.0	0.0	0.1501	0.021187834
SACA	ELECTRICITY	0.0	0.0	0.412971429	0.063732
SACA	GASOLINE	0.0	Infinity	0.3448	0.124118331
SACA	DIESEL	0.0	Infinity	0.3148	0.111311495
SACA	BIOETHANOL	0.0	0.0	0.0	0.122502774
SACA	BIODIESEL	0.0	0.0	0.0	0.131394244
SACA	LFO	0.0	Infinity	0.3115	0.085115655
SACA	GAS	477.4322454	0.0	0.2666	0.010662519
SACA	GAS_RE	0.0	0.0	0.0	0.132345636
SACA	COAL	0.0	0.0	0.4014	0.015545445
SACA	URANIUM	0.0	0.0	0.0039	0.003876456
SACA	H2	0.0	0.0	0.414044616	0.077642645
SACA	H2_RE	0.0	0.0	0.0	0.137854413
SACA	AMMONIA	0.0	0.0	0.285	0.071991938
SACA	METHANOL	0.0	0.0	0.35	0.081184572
SACA	AMMONIA_RE	0.0	0.0	0.0	0.092751343
SACA	METHANOL_RE	0.0	0.0	0.0	0.122502774
SACA	CO2_EMISSIONS	Infinity	Infinity	0.0	0.0
SACA	RES_WIND	Infinity	Infinity	0.0	0.0
SACA	RES_SOLAR	Infinity	Infinity	0.0	0.0
SACA	RES_HYDRO	Infinity	Infinity	0.0	0.0
SACA	RES_GEO	Infinity	Infinity	0.0	0.0
SACA	CO2_ATM	Infinity	Infinity	0.0	0.0
SACA	CO2_INDUSTRY	0.0	0.0	0.0	0.0
