param : 	storage_charge_time	storage_discharge_time := 
BN	PHS	4.8309	4.2955
BN	BATT_LI	4.0	4.0
BN	BEV_BATT	8.33	8.33
BN	PHEV_BATT	8.33	8.33
BN	TS_DEC_DIRECT_ELEC	4.0	4.0
BN	TS_DEC_HP_ELEC	4.0	4.0
BN	TS_DEC_THHP_GAS	4.0	4.0
BN	TS_DEC_COGEN_GAS	4.0	4.0
BN	TS_DEC_COGEN_OIL	4.0	4.0
BN	TS_DEC_ADVCOGEN_GAS	4.0	4.0
BN	TS_DEC_ADVCOGEN_H2	4.0	4.0
BN	TS_DEC_BOILER_GAS	4.0	4.0
BN	TS_DEC_BOILER_WOOD	4.0	4.0
BN	TS_DEC_BOILER_OIL	4.0	4.0
BN	TS_DHN_DAILY	60.3	60.3
BN	TS_DHN_SEASONAL	150.0	150.0
BN	TS_HIGH_TEMP	2.0	2.0
BN	GAS_STORAGE	2256.0	752.0
BN	H2_STORAGE	4.0	4.0
BN	DIESEL_STORAGE	168.0	168.0
BN	GASOLINE_STORAGE	168.0	168.0
BN	LFO_STORAGE	168.0	168.0
BN	AMMONIA_STORAGE	168.0	168.0
BN	METHANOL_STORAGE	168.0	168.0
BN	CO2_STORAGE	1.0	1.0
CB	PHS	4.8309	4.2955
CB	BATT_LI	4.0	4.0
CB	BEV_BATT	8.33	8.33
CB	PHEV_BATT	8.33	8.33
CB	TS_DEC_DIRECT_ELEC	4.0	4.0
CB	TS_DEC_HP_ELEC	4.0	4.0
CB	TS_DEC_THHP_GAS	4.0	4.0
CB	TS_DEC_COGEN_GAS	4.0	4.0
CB	TS_DEC_COGEN_OIL	4.0	4.0
CB	TS_DEC_ADVCOGEN_GAS	4.0	4.0
CB	TS_DEC_ADVCOGEN_H2	4.0	4.0
CB	TS_DEC_BOILER_GAS	4.0	4.0
CB	TS_DEC_BOILER_WOOD	4.0	4.0
CB	TS_DEC_BOILER_OIL	4.0	4.0
CB	TS_DHN_DAILY	60.3	60.3
CB	TS_DHN_SEASONAL	150.0	150.0
CB	TS_HIGH_TEMP	2.0	2.0
CB	GAS_STORAGE	2256.0	752.0
CB	H2_STORAGE	4.0	4.0
CB	DIESEL_STORAGE	168.0	168.0
