param : 	c_inv	c_maint	gwp_constr	lifetime	c_p	fmin_perc	fmax_perc	f_min	f_max := 
BN	NUCLEAR	4845.73	102.930986	707.88	60	0.843906	0.0	1.0	0.0	0.0
BN	CCGT	898.0	22.45	183.79	25	0.377371468	0.0	1.0	0.0	0.0
BN	CCGT_AMMONIA	802.5	20.32459833	183.79	25	0.59	0.0	1.0	0.0	0.0
BN	COAL_US	2571.42	30.0225445	331.6	35	0.865396	0.0	1.0	0.0	0.0
BN	COAL_IGCC	3316.37	49.47283735	331.6	35	0.853432	0.0	1.0	0.0	0.0
BN	PV	1051.13	26.01945647	2081.43	25	1.0	0.0	1.0	0.0	0.0
BN	WIND_ONSHORE	1629.13	24.41867298	622.85	30	1.0	0.0	1.0	0.0	0.0
BN	WIND_OFFSHORE	5219.54	36.31492615	622.85	30	1.0	0.0	1.0	0.0	0.0
BN	HYDRO_RIVER	2000.263959	20.00263959	1262.82	40	1.0	0.0	1.0	0.0	0.0
BN	GEOTHERMAL	3772.171603	94.30429007	24929.09	30	0.914	0.0	1.0	0.0	0.0
BN	IND_COGEN_GAS	767.4832528	19.18708132	1024.32	25	0.8449	0.0	1.0	0.0	0.0
BN	IND_COGEN_WOOD	1716.964771	39.82614252	165.33	25	0.8449	0.0	1.0	0.0	0.0
BN	IND_COGEN_WASTE	3101.3	114.3299681	647.82	25	0.8449	0.0	1.0	0.0	0.0
BN	IND_BOILER_GAS	70.67	1.415862909	12.32	17	0.9443	0.0	1.0	0.0	0.0
BN	IND_BOILER_WOOD	138.22	2.764303774	28.87	17	0.8946	0.0	1.0	0.01943811	0.01953811
BN	IND_BOILER_OIL	65.83	1.415862909	12.32	17	0.9443	0.0	1.0	0.00039773	0.00049773
BN	IND_BOILER_COAL	138.22	2.764303774	48.18	17	0.8946	0.0	1.0	0.0	0.0
BN	IND_BOILER_WASTE	138.22	2.764303774	28.87	17	0.8946	0.0	1.0	0.0	0.0
BN	IND_DIRECT_ELEC	387.73	1.758903768	1.47	15	0.9443	0.0	1.0	0.0	0.0
BN	DHN_HP_ELEC	395.73	13.41870073	174.79	25	0.9443	0.0	1.0	0.0	0.0
BN	DHN_COGEN_GAS	1361.46	39.80624675	490.88	25	0.8449	0.0	1.0	0.0	0.0
BN	DHN_COGEN_WOOD	1172.95	42.94466341	165.33	25	0.8449	0.0	1.0	0.0	0.0
BN	DHN_COGEN_WASTE	3182.91	117.3386515	647.82	25	0.8449	0.0	1.0	0.0	0.0
BN	DHN_COGEN_WET_BIOMASS	1491.64	121.3965436	1024.0	25	0.7455	0.0	1.0	0.0	0.0
BN	DHN_COGEN_BIO_HYDROLYSIS	4923.77	240.5931676	647.8	15	0.8449	0.0	1.0	0.0	0.0
BN	DHN_BOILER_GAS	70.67	1.415862909	12.32	17	0.9443	0.0	1.0	0.0	Infinity
BN	DHN_BOILER_WOOD	138.22	2.764303774	28.87	17	0.8946	0.0	1.0	0.0	0.0
BN	DHN_BOILER_OIL	65.83	1.415862909	12.32	17	0.9443	0.0	1.0	0.0	Infinity
BN	DHN_DEEP_GEO	1611.94	60.39529412	808.76	30	0.8449	0.0	1.0	0.0	0.0
BN	DHN_SOLAR	381.37	0.449838889	221.22	30	1.0	0.0	1.0	0.0	0.0
BN	DEC_HP_ELEC	564.78	23.54819613	164.89	18	1.0	0.0	1.0	0.0	0.0
BN	DEC_THHP_GAS	362.35	10.59040315	381.93	20	1.0	0.0	1.0	0.0	0.0
BN	DEC_COGEN_GAS	1528.1	98.22449611	1024.32	20	1.0	0.0	1.0	0.0	0.0
BN	DEC_COGEN_OIL	1416.89	86.93215515	1024.32	20	1.0	0.0	1.0	0.0	0.0
BN	DEC_ADVCOGEN_GAS	9185.33	171.1804817	2193.45	20	1.0	0.0	1.0	0.0	0.0
BN	DEC_ADVCOGEN_H2	9185.33	171.1804817	2193.45	20	1.0	0.0	1.0	0.0	0.0
