param end_uses_demand_year : 	HOUSEHOLDS	SERVICES	INDUSTRY	TRANSPORTATION := 
CB	ELECTRICITY	259.8090116	266.5070334	234.1532069	0.0
CB	LIGHTING	61.71407415	108.62073	234.1532069	0.0
CB	HEAT_HIGH_T	0.0	9.818557475	2428.403554	0.0
CB	HEAT_LOW_T_SH	0.0	0.0	0.0	0.0
CB	HEAT_LOW_T_HW	291.8685696	0.0	0.0	0.0
CB	COOKING	992.7016223	45.4555244	0.0	0.0
CB	MOBILITY_PASSENGER	0.0	0.0	0.0	15939.76665
CB	MOBILITY_FREIGHT	0.0	0.0	0.0	3073.248278
CB	NON_ENERGY	0.0	0.0	1678.337316	0.0
LP	ELECTRICITY	132.4180404	380.9664963	224.4665699	0.0
LP	LIGHTING	92.08423026	132.2553237	224.4665699	0.0
LP	HEAT_HIGH_T	0.0	18.19151626	3722.410196	0.0
LP	HEAT_LOW_T_SH	0.0	0.0	0.0	0.0
LP	HEAT_LOW_T_HW	711.417571	0.0	0.0	0.0
LP	COOKING	1435.549271	132.5480392	0.0	0.0
LP	MOBILITY_PASSENGER	0.0	0.0	0.0	18575.04527
LP	MOBILITY_FREIGHT	0.0	0.0	0.0	3883.188604
LP	NON_ENERGY	0.0	0.0	58.5446745	0.0
OR	ELECTRICITY	23.86152434	64.75999211	203.4363711	0.0
OR	LIGHTING	11.11244199	17.52544009	203.4363711	0.0
OR	HEAT_HIGH_T	0.0	2.347498758	956.8564376	0.0
OR	HEAT_LOW_T_SH	0.0	0.0	0.0	0.0
OR	HEAT_LOW_T_HW	78.98089743	0.0	0.0	0.0
OR	COOKING	338.0291235	31.67530299	0.0	0.0
OR	MOBILITY_PASSENGER	0.0	0.0	0.0	4061.864517
OR	MOBILITY_FREIGHT	0.0	0.0	0.0	730.0684951
OR	NON_ENERGY	0.0	0.0	19.0163979	0.0
PT	ELECTRICITY	91.40106744	50.69268841	304.0036396	0.0
PT	LIGHTING	10.15567416	13.01819249	401.392145	0.0
PT	HEAT_HIGH_T	0.0	3.869854901	477.9205596	0.0
PT	HEAT_LOW_T_SH	0.0	0.0	0.0	0.0
PT	HEAT_LOW_T_HW	99.63831419	0.0	0.0	0.0
PT	COOKING	282.5015953	22.95947822	0.0	0.0
PT	MOBILITY_PASSENGER	0.0	0.0	0.0	2940.406012
PT	MOBILITY_FREIGHT	0.0	0.0	0.0	668.6502081
PT	NON_ENERGY	0.0	0.0	7.9532388	0.0
;
